"이동규모별","시점","전출지별",서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"9인","2021","부산광역시",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9인","2021","대구광역시",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9인","2021","인천광역시",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"9인","2021","광주광역시",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"9인","2021","대전광역시",0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0
"9인","2021","울산광역시",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9인","2021","세종특별자치시",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9인","2021","경기도",2,0,1,1,0,0,0,0,41,0,0,1,0,0,1,0,0
"9인","2021","강원도",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"9인","2021","충청북도",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"9인","2021","충청남도",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"9인","2021","전라북도",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"9인","2021","전라남도",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"9인","2021","경상북도",0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0
"9인","2021","경상남도",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"9인","2021","제주특별자치도",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"9인","2022","서울특별시",4,0,1,1,0,0,0,0,5,1,0,0,1,0,1,0,0
"9인","2022","부산광역시",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
